Dataset,Class,rdf:type triples
YAGO,Drama_Television_Series_Q1366112,5
YAGO,Archipelago,1
YAGO,Singer-songwriter,15
YAGO,Shopping_center,6
YAGO,Video_game,50
YAGO,Magazine,28
YAGO,Radio_program,9
YAGO,Guitarist,22
YAGO,Post_office,16
YAGO,Child_actor,8
YAGO,Road,61
YAGO,Elementary_schools_in_Japan,19
YAGO,Police_station,4
YAGO,Kannushi,1
YAGO,Violinist,9
YAGO,Rugby_union_player,27
YAGO,Model__u0028_person_u0029_,16
YAGO,Historic_Building_Q35112127,6
YAGO,Photovoltaic_power_station,7
YAGO,Manga_artist,6
YAGO,Research_institute,14
YAGO,Kofun,3
YAGO,Roadside_station,2
YAGO,AV_idol,8
YAGO,Q109124037,1
YAGO,Colony__u0028_Poland_u0029_,1
YAGO,Meteorite,3
YAGO,Local_museum,2
YAGO,Osiedle,1
YAGO,Parish,13
YAGO,Business_executive,16
YAGO,Floorball_Club_Q26156208,2
YAGO,Saddle__u0028_landform_u0029_,2
YAGO,Writer,223
YAGO,Musical_Work_U002F_Composition_Q105543609,160
YAGO,Stream,147
YAGO,Sculptor,53
YAGO,Geological_Monument_Q2179685,1
YAGO,Flag_Of_A_Country_Subdivision_Q22807280,2
YAGO,Newspaper,46
YAGO,Professor,32
YAGO,Hospital,28
YAGO,Jurist,47
YAGO,Farmer,15
YAGO,Lexicographer,3
YAGO,Microbiologist,6
YAGO,Sinkhole,2
YAGO,Settlement_In_Galicia_U002C__Spain_Q20541692,27
YAGO,Rabbi,10
YAGO,Desa__u0028_Indonesia_u0029_,62
YAGO,Villages_of_Indonesia,6
YAGO,High_school_in_the_United_States,30
YAGO,Art_museum,3
YAGO,National_School_Q96386155,9
YAGO,Academic_institution,16
YAGO,Volcano,1
YAGO,Astronomer,8
YAGO,Lyricist,9
YAGO,Mythological_Greek_Character_Q22988604,2
YAGO,Secondary_school,18
YAGO,Television_seasons,23
YAGO,Raga,2
YAGO,Ambassador_Of_Belarus_Q21814438,1
YAGO,Monotypic_taxon,10
YAGO,Villages_of_China,604
YAGO,Shequ,93
YAGO,Administrative_divisions_of_China,10
YAGO,Gacha_Q18652188,1
YAGO,Parish__u0028_Catholic_Church_u0029_,13
YAGO,Soldier,12
YAGO,Archaeologist,22
YAGO,Scientific_journal,106
YAGO,Web_portal,1
YAGO,One-man_band,1
YAGO,Tambon,8
YAGO,Locality_Q3257686,46
YAGO,Chemical_compound,1140
YAGO,Middle_school,14
YAGO,Songwriter,24
YAGO,Professional_Gamer_Q4379701,3
YAGO,Researcher,1851
YAGO,Fedayeen,1
YAGO,Physician,74
YAGO,Lake,252
YAGO,Lake_Water_Body_Q30092776,10
YAGO,Bank,6
YAGO,Dead-End_Station_Q55485,1
YAGO,Artist,46
YAGO,Szlachta_Coat_Of_Arms_Q5650788,2
YAGO,Library,14
YAGO,Eastern_Orthodox_Eparchy_Q60176300,1
YAGO,Way,1
YAGO,Reservoir,29
YAGO,Bypass__u0028_road_u0029_,1
YAGO,Lower_Secondary_School_In_Japan_Q55521176,14
YAGO,Theatrical_troupe,3
YAGO,Naturschutzgebiet,14
YAGO,House,210
YAGO,Collection_Of_Articles_Q17518557,1
YAGO,Rikishi,5
YAGO,Lüshi_With_Lines_Of_Seven_Characters_Q17367286,3
YAGO,Farmhouse,44
YAGO,Residential_And_Commercial_Building_Q18760306,2
YAGO,Barn,22
YAGO,Wikinews_Article_Q17633526,299
YAGO,Character__u0028_arts_u0029_,6
YAGO,Chapel,62
YAGO,Motte-and-bailey_castle,1
YAGO,Building,227
YAGO,HumanMadeGeographicalEntity,209
YAGO,Tenement,5
YAGO,Terraced_house,7
YAGO,Masia,47
YAGO,Governor,1
YAGO,Non-coding_RNA,45
YAGO,Nature_reserve,18
YAGO,Woodcut_Print_Q18219090,2
YAGO,Urban_settlement__u0028_Russia_u0029_,2
YAGO,Animated_film,6
YAGO,Frazione,17
YAGO,Ice_hockey_player,37
YAGO,Primary_school,174
YAGO,Resistance_Fighter_Q1397808,9
YAGO,Agenda__u0028_liturgy_u0029_,1
YAGO,Cartographer_Q1734662,5
YAGO,Television_Series_Episode_Q21191270,144
YAGO,Article__u0028_publishing_u0029_,141
YAGO,Judicial_Yuan_Interpretations_Q18845793,6
YAGO,Decision_Of_People_U0027_S_Congress_Q106606189,1
YAGO,Judge,39
YAGO,Biographical_Article_Q19389637,182
YAGO,Oration,3
YAGO,United_States_Supreme_Court_Decision_Q19692072,25
YAGO,Executive_order,3
YAGO,Poem,100
YAGO,Poetry,13
YAGO,Ordinance_Q2703920,5
YAGO,Film_editor,9
YAGO,Posyolok,17
YAGO,TVSeries,63
YAGO,Printmaker,9
YAGO,Mammalogist_Q16831394,2
YAGO,Island,143
YAGO,Science_Award_Q11448906,6
YAGO,Round_Q18131152,4
YAGO,Encyclopedia_Article_Q13433827,585
YAGO,Illustrator,28
YAGO,Handball_player,12
YAGO,Inhabited_Area_Q30892871,1
YAGO,Orchestra,1
YAGO,Rural_District_Of_Kazakhstan_Q4414032,3
YAGO,Grape_Variety_Q958314,3
YAGO,Spanish_Sport_Association_Q29902221,1
YAGO,Buurtschap_Q1484611,7
YAGO,Editor,19
YAGO,Legal_term,1
YAGO,Pianist,21
YAGO,Designer,7
YAGO,Neurologist,4
YAGO,Spirit__u0028_vital_essence_u0029_,1
YAGO,Political_party,27
YAGO,Protein,226
YAGO,District_courts_of_Russia,1
YAGO,Triathlete_Q15306067,2
YAGO,Watercourse,162
YAGO,Ichthyologist_Q4205432,5
YAGO,Malacologist_Q16271261,3
YAGO,Botanist,49
YAGO,Ophthalmologist,4
YAGO,Spring__u0028_hydrology_u0029_,71
YAGO,Monastery,11
YAGO,MediaWiki_extension,6
YAGO,Website,17
YAGO,Polder,3
YAGO,Dune,3
YAGO,Point_Q24529780,40
YAGO,Dam,79
YAGO,Bight__u0028_geography_u0029_,15
YAGO,Valley,102
YAGO,Waterfall,14
YAGO,Drawing,108
YAGO,Herpetologist_Q16271064,2
YAGO,Medal,4
YAGO,Peninsula,19
YAGO,Bay,43
YAGO,Wetland,6
YAGO,Shoal,9
YAGO,Island_Group_Q1402592,11
YAGO,Park,106
YAGO,Beach,18
YAGO,Indian_reserve,6
YAGO,Photograph,68
YAGO,Villa,17
YAGO,Public_Educational_Institution_Q23002037,6
YAGO,School,40
YAGO,Multi-Storey_Urban_Building_Q11755959,9
YAGO,Ted_Women_Talk_Q23058952,1
YAGO,Navigation_Channel_Q41982239,3
YAGO,Group_Of_Lakes_Q5926864,4
YAGO,Stained_glass,1
YAGO,Desert,4
YAGO,Wadi,53
YAGO,Extended_play,13
YAGO,Sebil__u0028_fountain_u0029_,1
YAGO,Athlete,20
YAGO,Meta-analysis,96
YAGO,Group_Of_Rocks_Q24576816,2
YAGO,Docent,5
YAGO,Reef,8
YAGO,Cape__u0028_geography_u0029_,24
YAGO,Oil_field,7
YAGO,Review_article,2039
YAGO,Temple,10
YAGO,Pundit,1
YAGO,Manorialism,4
YAGO,Urban_Area_In_Norway_Q15092344,4
YAGO,Clerk,1
YAGO,Wikimedia_Duplicated_Page_Q17362920,5
YAGO,Musicologist,9
YAGO,Association_Football_Team_Season_Q26887310,40
YAGO,Rower,15
YAGO,Thatched_Cottage_Q13360578,17
YAGO,Conference_Paper_Q23927052,5
YAGO,Report,24
YAGO,Finial,1
YAGO,Bridge,29
YAGO,Headstone,8
YAGO,Cottage,30
YAGO,Railway_Viaduct_Q39486269,2
YAGO,Thatched_Farmhouse_Q109838242,5
YAGO,Drinking_fountain,6
YAGO,Gatehouse,7
YAGO,Gazebo,3
YAGO,Granary,7
YAGO,Animal_pound,1
YAGO,Memorial,8
YAGO,Case_report,180
YAGO,Canal,42
YAGO,Embassy,10
YAGO,Short_film,35
YAGO,1-Alkyl_U002C_2-Acylglycerophosphocholines_Q63438343,1
YAGO,Architectural_sculpture,1
YAGO,Drawer__u0028_artist_u0029_,19
YAGO,Racemic_mixture,1
YAGO,Retracted_Paper_Q45182324,5
YAGO,Chess_player,25
YAGO,Art_print,133
YAGO,Basin_Q813672,7
YAGO,Tile,2
YAGO,Badminton_Event_Q57733494,70
YAGO,Architectural_Heritage_Monument_Q811165,4
YAGO,Biogenic_Benzophenone_Q109545047,1
YAGO,Dissolved_Municipality_Of_Japan_Q18663566,12
YAGO,Fictional_Humanoid_Q28020127,2
YAGO,Evangelical_Theologian_Q98833883,4
YAGO,Rock_Beach_Q24633899,1
YAGO,Piano_Trio_Q43304311,1
YAGO,Contributing_editor,22
YAGO,Award,26
YAGO,Third-Level_Administrative_Country_Subdivision_Q13221722,3
YAGO,Doctoral_thesis,79
YAGO,Douar_Q23925393,21
YAGO,Fraction_Q28912853,4
YAGO,Altar,5
YAGO,Picture_frame,8
YAGO,Chalice,4
YAGO,Statue,47
YAGO,Processional_cross,2
YAGO,Paten,1
YAGO,Petroglyph,16
YAGO,Bell,4
YAGO,Music_stand,1
YAGO,Nativity_scene,1
YAGO,Reliquary,3
YAGO,Cairn,11
YAGO,Tumulus,48
YAGO,Stone_Setting_Q2341654,63
YAGO,Grave_field,19
YAGO,Outbuilding,5
YAGO,Fishing_village,2
YAGO,File_format,14
YAGO,Foundation__u0028_engineering_u0029_,5
YAGO,Entrepreneur,30
YAGO,Public_library,40
YAGO,Ancient_monument,7
YAGO,Dictionary_Entry_Q1580166,150
YAGO,Chapel-Shrine_Q14552192,2
YAGO,Work_of_art,13
YAGO,Medical_Organization_Q4287745,7
YAGO,Watercolor_Painting_Q18761202,21
YAGO,Social_worker,5
YAGO,Anatomist_Q10872101,2
YAGO,Unincorporated_Community_In_The_United_States_Q17343829,35
YAGO,Sociologist,19
YAGO,Sports_competition,24
YAGO,Legislator,1
YAGO,Lüshi_With_Lines_Of_Five_Characters_Q17370328,5
YAGO,Spur__u0028_topography_u0029_,4
YAGO,Summit,19
YAGO,Cliff,7
YAGO,Vocational_School_In_Indonesia_Q12513144,1
YAGO,Literary_magazine,1
YAGO,Fourth-Level_Administrative_Country_Subdivision_Q14757767,11
YAGO,Swamp,8
YAGO,Ravine,14
YAGO,Waterhole_Q3177968,4
YAGO,School_Building_Q1244442,12
YAGO,Aerodrome,27
YAGO,Political_activist,6
YAGO,Atlas,1
YAGO,Lagoon,4
YAGO,Academic_Journal_Article_Q18918145,27
YAGO,Association_Q15911314,8
YAGO,Editorial,528
YAGO,Footpath,1
YAGO,Cross-reference,25
YAGO,Bunker,5
YAGO,Marsh,22
YAGO,Glacier,12
YAGO,Raised_bog,6
YAGO,Sand_Area_Q34379419,2
YAGO,Distributary,4
YAGO,Strait,2
YAGO,Islet,17
YAGO,News_Article_Q5707594,26
YAGO,Town_House_Q1021106,3
YAGO,Clergy_house,11
YAGO,Farm,9
YAGO,Comment_Q58897583,1
YAGO,Fountain_Q12029081,4
YAGO,Koaza_Q5327509,1
YAGO,Hotel,127
YAGO,Lighthouse,11
YAGO,Manager,6
YAGO,Cultural_Heritage_Ensemble_Q1516079,45
YAGO,Schloss,3
YAGO,Wayside_shrine,7
YAGO,Presbyter,4
YAGO,Erratum,78
YAGO,Destroyed_Building_Or_Structure_Q19860854,25
YAGO,Alsace_wine,1
YAGO,Conjunto_histórico,2
YAGO,Type_foundry,1
YAGO,Minister__u0028_Christianity_u0029_,4
YAGO,Fish_pond,2
YAGO,Election_To_The_Parliament_Of_Catalonia_Q5116010,2
YAGO,Bhikkhu,6
YAGO,Theatre_director,18
YAGO,Annelidologist_Q38687772,1
YAGO,Nude_calendar,1
YAGO,Taekwondo_Athlete_Q13382533,5
YAGO,Teacher,77
YAGO,Concentration_camp,4
YAGO,Pharmaceutical_Product_Q28885102,1
YAGO,Café_Owner_Q23924991,2
YAGO,Col,12
YAGO,Bog,29
YAGO,Revenue_house,19
YAGO,Residential_Building_Q11755880,15
YAGO,Historic_district,11
YAGO,Commemorative_plaque,15
YAGO,Localities_of_Mexico,36
YAGO,Protein_complex,13
YAGO,Biological_process,15
YAGO,Film_producer,43
YAGO,Cellist,4
YAGO,Volleyball_Coach_Q20730881,3
YAGO,Manuscript,14
YAGO,Fan_Painting_Q50488927,1
YAGO,Cultural_Studies_Scholar_Q19829999,3
YAGO,Function_Q1474521,2
YAGO,Activist,12
YAGO,Laboratory,5
YAGO,Themed_Area_Q30224326,1
YAGO,Performing_Artist_Q713200,5
YAGO,Open-Access_Publisher_Q45400320,4
YAGO,Stolperstein_Q26703203,13
YAGO,Technical_Institute_Q3803834,2
YAGO,Kindergarten,24
YAGO,Banker_Q806798,13
YAGO,Cancer_In_Animals_Q53677887,1
YAGO,Cell_Line_From_Embryonic_Stem_Cells_Q107102664,18
YAGO,Hügelland,1
YAGO,Sporting_Event_Q16510064,25
YAGO,Transformed_Cell_Line_Q27555384,55
YAGO,Finite_Cell_Line_Q27671617,14
YAGO,Cancer_Cell_Line_Q23058136,26
YAGO,Saxophonist,8
YAGO,Entomologist,17
YAGO,Real_estate,11
YAGO,Electrical_substation,3
YAGO,Friar,4
YAGO,Time_Of_The_Day_Q1260524,86
YAGO,Intermittent_river,21
YAGO,Video_game_developer,5
YAGO,Literary_Scholar_Q17167049,6
YAGO,API,2
YAGO,Anime_Character_Q80447738,5
YAGO,Veteran_tree,11
YAGO,Urban_park,3
YAGO,Chemist,32
YAGO,Pastor,22
YAGO,Figure_skater,8
YAGO,Solicitor,3
YAGO,Cleric_Q2259532,7
YAGO,Athletics_competitor,28
YAGO,Core_Municipal_Part_With_The_Same_Name_As_The_Municipality_In_The_Czech_Republic_Q56398194,1
YAGO,Natural_Watercourse_Q55659167,15
YAGO,Rapids,4
YAGO,Road_Bridge_Q537127,8
YAGO,Act_Of_The_Parliament_Of_Australia_Q56731284,14
YAGO,Higher_education_institution,9
YAGO,Dance_Production_Q43099869,5
YAGO,Performing_Arts_Production_Q43099500,4
YAGO,Geologic_map,10
YAGO,Natural_Monument_In_Germany_Q21573182,18
YAGO,Rock_formation,3
YAGO,Plantation,6
YAGO,Astm_Standard_Q67035425,11
YAGO,Collection__u0028_museum_u0029_,512
YAGO,Vase,5
YAGO,Congressional_Research_Service_reports,15
YAGO,Theologian,47
YAGO,Awards_ceremony,14
YAGO,Foundation__u0028_nonprofit_u0029_,6
YAGO,Non-Fiction_Work_Q20540385,2
YAGO,Centaur,1
YAGO,Galaxy,2104
YAGO,Filial_church,1
YAGO,Fictional_Radio_Station_Q60153785,1
YAGO,Civil_parishes_in_Ireland,3
YAGO,Sea_Terminal_Q56257551,1
YAGO,Site_of_Community_Importance,2
YAGO,Volleyball_player,11
YAGO,Zhujingban_Q15923445,1
YAGO,Weather_station,8
YAGO,Health_Sub-Centre_Q61278455,14
YAGO,Tehsil_Of_India_Q7694920,3
YAGO,Tool,4
YAGO,Local_Heritage_Association_In_Sweden_Q61786815,3
YAGO,Councillor,1
YAGO,Clinical_trial,407
YAGO,Librettist,7
YAGO,Dam_With_Volume_Capacity_Of_Less_Than_3_Hm_U00B3__Q62011240,6
YAGO,Landschaftsschutzgebiet_Q21503788,8
YAGO,Chrono_Champenois,1
YAGO,Software,8
YAGO,Barrister,6
YAGO,Bus_Route_Q3240003,8
YAGO,Gate,3
YAGO,Parish_Of_New_South_Wales_Q28931760,8
YAGO,Musical_Theatre_Character_Q63975020,6
YAGO,Figurine,3
YAGO,Bilateral_Relation_Q15221623,14
YAGO,Biblioteca_Popular_Q5728070,3
YAGO,Unaided_School_Q86991207,2
YAGO,Higher_Secondary_School_Q64062731,5
YAGO,Quarter_Of_Niger_Q64689195,2
YAGO,Catholic_Deacon_Q25393460,4
YAGO,Artifact__u0028_archaeology_u0029_,18
YAGO,Fictional_Parallel_Universe_Q47306921,1
YAGO,Magician_Q15855449,1
YAGO,Tram_stop,15
YAGO,Coin,9
YAGO,Class_A_Official_Q63755375,3
YAGO,Israeli_National_Badminton_Championships,1
YAGO,Watermill,5
YAGO,State_Bank_Of_India_Branch_Q65954115,24
YAGO,Item_Of_Collection_Or_Exhibition_Q18593264,143
YAGO,Comic_strip,4
YAGO,Bank_Of_India_Branch_Q66576265,4
YAGO,Binary_star,10
YAGO,Hdfc_Bank_Branch_Q66619497,4
YAGO,Suffragist_Q27532437,5
YAGO,Neighbourhood,29
YAGO,Corporation_Bank_Branch_Q66768699,5
YAGO,Fonds,19
YAGO,Edited_volume,2
YAGO,Government_Boys_U0027__Primary_School_Q67015940,26
YAGO,Mobile_App_Publisher_Q106104678,1
YAGO,Government_Girls_Primary_School_Q67015944,7
YAGO,Subcommittee_Of_A_Technical_Committee_Q55454947,1
YAGO,Glacial_lake,2
YAGO,Rural_School_Q19855165,64
YAGO,Co-Educational_School_Q67383935,76
YAGO,Galaxy_group,32
YAGO,Galaxy_cluster,74
YAGO,Historical_society,3
YAGO,Pornographic_film_actor,6
YAGO,Architectural_ensemble,15
YAGO,Association_Football_Club_Match_Q109623729,16
YAGO,Second_Thursday_In_October_Q51156457,1
YAGO,January_1,1
YAGO,Library_system,12
YAGO,Prayagraj_Bank_Branch_Q69529214,3
YAGO,Sub_Post_Office_Q61443650,22
YAGO,Library_branch,9
YAGO,Geological_Monument_In_South_Limburg_Q70203198,1
YAGO,Branch_Post_Office_Q61443690,143
YAGO,Bank_Of_Maharashtra_Branchcustomer_Service_08910907482_Q70081950,3
YAGO,Law_of_Taiwan,16
YAGO,Supercomputer,15
YAGO,Animated_character,5
YAGO,Patent,2
YAGO,Industrial_Development_Bank_Of_India_Branch_Q73717181,3
YAGO,Indian_Overseas_Bank_Branch_Q73839412,3
YAGO,Canara_Bank_Branch_Q65954144,6
YAGO,Syndicate_Bank_Branch_Q73865589,2
YAGO,Director__u0028_creative_work_u0029_,22
YAGO,Far-Ir_Source_Q67206701,77
YAGO,Dark_nebula,21
YAGO,Eclipsing_binary_star,330
YAGO,Quasar,165
YAGO,Short_program__u0028_figure_skating_u0029_,3
YAGO,Compact_Group_Of_Galaxies_Q71963409,87
YAGO,RR_Lyrae_variable,94
YAGO,High_Proper-Motion_Star_Q2247863,260
YAGO,High-velocity_cloud,8
YAGO,Astronomical_radio_source,338
YAGO,Millimetric_Radio-Source_Q67201561,4
YAGO,Possible_Red_Giant_Branch_Star_Q72802727,65
YAGO,H_II_region,27
YAGO,Long-period_variable_star,89
YAGO,Unconfirmed_Exoplanet_Q18611609,9
YAGO,Music_Track_With_Vocals_Q55850593,16
YAGO,Endocannabinoids_Q10483908,1
YAGO,Astrophysical_X-ray_source,148
YAGO,Scenography_Sketch_Q76504821,2
YAGO,Academic_Workshop_Q40444998,3
YAGO,Tetronic_Acid_Q108955625,1
YAGO,Red_Giant_Branch_Star_Q66619666,67
YAGO,Carbon_star,24
YAGO,Brightest_cluster_galaxy,79
YAGO,10_U002C_15-Cyclophytane_Diterpenoid_Q108377177,1
YAGO,Pyrimidine_Q47069735,1
YAGO,Engraving_Q11835431,12
YAGO,Low-Mass_Star_Q12795622,26
YAGO,Buddhist_texts,1
YAGO,Young_Stellar_Object_Candidate_Q72802977,25
YAGO,Nova,5
YAGO,Gamma-Ray_Source_Q71962386,1
YAGO,Molecular_cloud,26
YAGO,Horizontal_Branch_Star_Q72803426,19
YAGO,Globular_cluster,11
YAGO,Possible_Globular_Cluster_Q72803708,17
YAGO,Religious_Ceramic_Panel_Q97072190,2
YAGO,Variable_star,39
YAGO,White_dwarf,17
YAGO,Active_galactic_nucleus,23
YAGO,Blue_straggler,1
YAGO,Monument,23
YAGO,AstronomicalObject,24
YAGO,Lace,3
YAGO,Textile,3
YAGO,Glassware_Q1922981,1
YAGO,Mira_variable,17
YAGO,Rotating_Variable_Star_Q2168098,61
YAGO,Rotating_ellipsoidal_variable,35
YAGO,Emission-Line_Galaxy_Q72802508,31
YAGO,Classical_Cepheid_variable,8
YAGO,Human_Q73755406,1
YAGO,Orion_variable,3
YAGO,Chemically_peculiar_star,11
YAGO,Integrierte_Gesamtschule_Q99460855,1
YAGO,Art_exhibition,9
YAGO,Stratigrapher_Q53751363,1
YAGO,Seyfert_1_Galaxy_Q71965429,15
YAGO,Blue_Object_Q71798532,12
YAGO,Dwarf_nova,3
YAGO,Volume__u0028_bibliography_u0029_,52
YAGO,College,27
YAGO,Mountaineer,6
YAGO,Reformed_Pastor_Q56033776,2
YAGO,Post-Agb_Star_Q66619774,1
YAGO,Railway_Line_Q728937,21
YAGO,Low_surface_brightness_galaxy,13
YAGO,Planetary_nebula,10
YAGO,Lower_Primary_School_Q64063317,6
YAGO,Eruptive_Variable_Star_Q1362543,4
YAGO,Radio_galaxy,6
YAGO,Aided_School_Q86989588,6
YAGO,Uv-Emission_Source_Q71798788,8
YAGO,Cepheid_variable,12
YAGO,Court,3
YAGO,Open_cluster,2
YAGO,Algol_variable,9
YAGO,Decree,9
YAGO,Hot_Subdwarf_Star_Q54231557,4
YAGO,Free_software,9
YAGO,Young_stellar_object,20
YAGO,Gymnasieskola_Q10511371,3
YAGO,University_of_the_Third_Age,1
YAGO,School_Unit_Q88965416,7
YAGO,Seyfert_2_Galaxy_Q71965638,11
YAGO,T_Tauri_star,5
YAGO,Cardiologist_Q3264451,2
YAGO,Visual_Artwork_Q4502142,6
YAGO,Double_star,17
YAGO,Printer_Q175151,12
YAGO,Stellar_pulsation,5
YAGO,Thesis,19
YAGO,Language_Teacher_Q30002353,1
YAGO,Clock,1
YAGO,Beamter,2
YAGO,Merchant,19
YAGO,Bibliographer_Q10429346,4
YAGO,Bookstore,1
YAGO,Chef,3
YAGO,Cinematographer,17
YAGO,Hotel_manager,4
YAGO,Art_historian,18
YAGO,Audio_engineer,11
YAGO,Preacher,3
YAGO,Textile_Artist_Q10694573,3
YAGO,Music_Teacher_Q16145150,22
YAGO,Preprint,2
YAGO,Assistant_director,4
YAGO,Pond,16
YAGO,Satellite_navigation_device,1
YAGO,Episode,5
YAGO,Sinologist_Q15255771,1
YAGO,Book,37
YAGO,Elegiac_couplet,1
